Geneid	Length	670-105-B	670-105-F	670-1190-B	670-1190-F	670-34-B	670-34-F	716-23-B	716-23-F	716-4-B	716-4-F	716-6-B	716-6-F
sapp42921	288	0	0	0	0	0	0	0	0	0	0	0	0
sapp42922	1118	636	1062	1897	1571	1442	1108	1035	1420	1428	1441	1183	1629
sapp42937	2482	169	152	268	308	232	196	174	177	164	152	236	175
sapp42933	726	0	0	0	0	0	0	0	0	0	0	0	0
sapp42935	657	27	16	56	40	28	26	27	37	33	22	25	25
sapp42938	1419	23	12	34	19	24	10	19	7	16	14	32	4
sapp42939	543	7	1	7	0	12	2	7	2	8	2	1	0
sapp42930	222	0	0	0	0	0	0	0	0	0	0	0	0
sapp42929	273	0	0	0	0	0	0	0	0	0	0	0	0
sapp42927	507	0	0	0	0	0	0	0	0	0	0	0	0
sapp24659	1948	16	59	28	61	41	60	22	55	44	87	28	60
sapp24658	4181	935	1243	1776	2063	1453	1612	1238	1265	1298	1110	1250	1190
sapp24652	378	0	0	0	0	0	0	0	0	0	0	0	0
sapp24653	363	0	0	0	0	0	1	0	0	0	0	0	0
sapp24661	798	172	74	303	88	170	56	218	121	230	70	190	73
sapp24660	921	31	3	40	5	49	10	27	9	24	7	29	10
sapp24656	1667	675	426	874	818	718	442	629	301	678	390	863	563
sapp24654	1623	3047	2478	3859	3868	2766	3127	2884	3401	3013	5041	3834	3176
sapp24655	528	170	773	249	854	218	1488	158	913	263	761	197	679
sapp24673	1190	0	0	0	0	0	0	0	0	0	0	0	0
sapp24663	2116	2335	980	1479	2620	1525	3113	2859	2739	1783	3198	2406	1779
sapp24672	549	0	0	0	0	0	0	0	0	0	0	0	0
sapp24665	2440	1605	770	2468	1449	1926	1355	1517	1154	1605	1244	1932	1096
sapp24662	1410	7	0	3	0	7	0	2	0	16	0	6	0
sapp24670	297	0	1	0	3	1	2	0	6	0	4	0	3
sapp24671	3360	199	65	363	193	295	161	288	156	335	90	321	100
sapp24676	2195	132	84	184	157	169	142	163	114	135	106	171	103
sapp24674	3632	30	4	51	6	38	9	20	14	44	9	12	3
sapp24667	1044	165	410	264	544	293	836	322	573	261	613	247	365
sapp24677	1449	414	14	796	66	368	86	450	53	438	54	489	38
sapp24669	594	0	0	0	0	0	0	0	0	0	0	0	0
sapp24686	2003	128	244	203	259	167	281	99	92	138	106	41	132
sapp24680	1357	529	803	713	1305	836	1491	468	1036	595	1163	754	985
sapp24681	1574	19	9	26	9	22	16	22	17	24	48	22	8
sapp24682	1336	3	3	2	9	0	2	0	2	4	1	0	4
sapp24682	1431	88	71	136	112	92	88	75	95	100	108	86	86
sapp24682	666	0	0	0	0	0	0	0	0	0	0	0	0
sapp24689	900	5	0	6	0	4	0	7	0	8	0	5	0
sapp24696	1863	404	43	932	86	624	101	527	68	948	31	406	68
sapp24690	312	0	3	0	1	1	0	0	3	2	0	3	1
sapp24694	2274	499	94	803	202	637	295	579	191	585	102	515	133
sapp24694	124	3	0	11	0	5	3	4	2	4	0	5	0
sapp24691	1467	250	160	287	320	266	288	305	233	286	290	424	260
sapp24693	414	0	0	0	0	0	0	0	0	0	0	0	0
sapp24692	1176	154	238	375	257	241	214	210	182	496	225	129	170
sapp24687	2262	136	92	187	248	141	110	248	269	201	184	282	296
sapp24688	2115	250	263	423	426	315	285	405	348	336	244	313	242
sapp24699	297	1	0	0	0	0	0	0	0	0	2	0	0
sapp24702	122	0	0	0	0	0	0	0	0	0	0	0	0
sapp24702	726	0	0	0	1	1	4	52	73	23	48	18	83
sapp24702	155	0	0	0	1	0	2	0	1	0	1	1	0
sapp24700	2323	335	691	554	1116	439	847	439	809	532	808	440	815
sapp24697	561	23	6	28	4	33	0	30	10	0	0	0	0
sapp24698	603	0	0	4	1	0	0	0	0	0	0	0	0
sapp24715	1120	284	166	398	250	283	166	256	164	235	193	308	139
sapp24706	1402	303	116	625	302	502	256	429	281	540	295	374	161
sapp24711	1823	529	614	801	999	598	796	1092	911	661	711	910	664
sapp24710	2241	102	45	154	92	125	83	125	62	140	56	100	68
sapp24703	4687	485	253	884	566	773	1271	478	552	550	307	416	204
sapp24708	1503	77	139	196	169	152	193	144	108	111	163	88	97
sapp24705	1166	183	127	338	169	245	194	187	159	220	127	227	136
sapp24713	1457	902	855	1285	1183	1022	1098	873	721	959	794	1025	806
sapp24712	837	0	0	0	1	1	1	1	5	0	1	0	11
sapp24727	469	7	1	2	1	5	1	7	1	3	6	4	0
sapp24726	726	2	5	9	1	9	2	7	2	5	4	8	1
sapp24725	717	0	9	2	4	5	11	5	7	3	4	4	5
sapp24723	627	0	0	0	0	0	0	0	0	0	0	0	0
sapp24721	3520	136	702	187	844	104	567	191	374	181	325	142	382
sapp24722	2901	2	0	1	1	1	4	2	0	1	1	0	0
sapp24724	957	35	17	35	14	23	22	16	10	22	31	50	10
sapp24717	200	0	0	0	0	0	0	0	0	0	0	0	0
sapp24717	4420	505	770	850	1163	783	983	710	983	896	867	739	868
sapp24717	212	1	1	0	0	1	0	1	0	1	0	0	0
sapp24744	1040	420	86	622	146	412	136	378	108	420	107	554	143
sapp24742	1134	1	1	5	0	1	1	14	8	12	5	13	0
sapp24741	2065	24	12	54	32	42	19	58	46	68	55	45	19
sapp24738	2031	24	9	66	30	32	13	31	7	31	13	25	9
sapp24737	1665	174	137	261	217	235	220	309	245	226	210	239	155
sapp24745	1226	283	158	358	190	309	218	304	153	305	145	361	187
sapp24734	2418	15	8	32	23	29	20	37	37	15	21	19	31
