Description	ID	Solanum_lycopersicum	Solanum_appendiculatum	Petunia_inflata	Solanum_tuberosum	Jaltomata_sinuosa	Petunia_axillaris	Nicotiana_attenuata
OG0000000	OG0000000	19	21	63	11	11	87	8
OG0000001	OG0000001	2	44	64	5	10	71	21
OG0000002	OG0000002	1	4	134	4	18	13	6
OG0000003	OG0000003	2	58	4	13	47	50	5
OG0000004	OG0000004	6	4	70	3	3	83	1
OG0000005	OG0000005	26	33	36	38	3	6	21
OG0000006	OG0000006	5	23	4	5	41	9	75
OG0000007	OG0000007	26	47	23	38	2	17	6
OG0000008	OG0000008	1	36	6	22	45	40	4
OG0000009	OG0000009	45	32	5	54	14	3	1
OG0000010	OG0000010	4	18	3	5	50	5	65
OG0000011	OG0000011	7	58	2	8	40	27	7
OG0000012	OG0000012	14	50	3	39	20	2	12
OG0000013	OG0000013	41	33	2	4	17	1	39
OG0000014	OG0000014	17	14	6	39	4	13	44
OG0000015	OG0000015	0	5	0	56	8	0	63
OG0000016	OG0000016	1	34	25	18	37	6	3
OG0000017	OG0000017	10	23	43	11	9	19	7
OG0000018	OG0000018	3	10	1	26	80	0	1
OG0000019	OG0000019	31	36	5	6	16	0	26
OG0000020	OG0000020	11	26	2	28	42	2	9
OG0000021	OG0000021	15	13	28	30	5	20	7
OG0000022	OG0000022	3	11	29	2	13	42	16
OG0000023	OG0000023	1	37	0	68	3	0	6
OG0000024	OG0000024	0	7	24	5	11	24	43
OG0000025	OG0000025	4	9	3	3	48	47	0
OG0000026	OG0000026	9	3	50	19	7	22	4
OG0000027	OG0000027	6	20	25	27	7	20	8
OG0000028	OG0000028	18	28	12	30	0	9	15
OG0000029	OG0000029	12	33	8	49	2	4	1
OG0000030	OG0000030	61	27	0	13	6	1	0
OG0000031	OG0000031	0	21	0	83	3	0	1
OG0000032	OG0000032	20	30	12	28	7	8	2
OG0000033	OG0000033	4	34	14	23	14	2	16
OG0000034	OG0000034	3	6	31	2	0	49	16
OG0000035	OG0000035	2	30	26	0	3	29	15
OG0000036	OG0000036	6	9	0	14	2	44	29
OG0000037	OG0000037	0	38	0	3	59	3	0
OG0000038	OG0000038	33	12	9	27	4	7	10
OG0000039	OG0000039	2	46	1	2	33	13	4
OG0000040	OG0000040	1	9	15	1	26	1	47
OG0000041	OG0000041	11	11	25	15	4	20	12
OG0000042	OG0000042	44	19	12	9	2	12	0
OG0000043	OG0000043	8	34	12	16	14	10	4
OG0000044	OG0000044	5	9	2	8	47	2	24
OG0000045	OG0000045	12	10	26	7	10	31	1
OG0000046	OG0000046	13	17	20	20	13	3	10
OG0000047	OG0000047	3	30	5	5	19	3	30
OG0000048	OG0000048	7	0	33	11	10	19	14
OG0000049	OG0000049	2	9	12	2	28	2	38
OG0000050	OG0000050	28	1	1	3	52	3	5
OG0000051	OG0000051	0	23	25	2	9	16	18
OG0000052	OG0000052	0	49	1	6	29	4	3
OG0000053	OG0000053	8	16	24	9	2	18	14
OG0000054	OG0000054	21	22	3	34	7	2	1
OG0000055	OG0000055	10	2	0	24	3	0	50
OG0000056	OG0000056	4	26	10	29	8	5	7
OG0000057	OG0000057	18	1	7	30	0	5	28
OG0000058	OG0000058	1	2	0	61	24	0	0
OG0000059	OG0000059	21	12	12	18	2	12	10
OG0000060	OG0000060	15	27	12	22	0	9	2
OG0000061	OG0000061	55	11	0	6	13	1	0
OG0000062	OG0000062	2	17	2	17	46	1	0
OG0000063	OG0000063	16	12	13	35	6	0	2
OG0000064	OG0000064	2	9	0	60	13	0	0
OG0000065	OG0000065	5	3	0	3	26	7	39
OG0000066	OG0000066	1	20	0	9	51	1	1
OG0000067	OG0000067	1	7	32	1	1	41	0
OG0000068	OG0000068	13	6	10	12	15	12	14
OG0000069	OG0000069	1	18	19	10	9	20	5
OG0000070	OG0000070	2	23	0	47	3	3	4
OG0000071	OG0000071	15	4	12	18	9	10	14
OG0000072	OG0000072	7	28	6	28	7	4	1
OG0000073	OG0000073	1	3	0	55	21	0	0
OG0000074	OG0000074	5	8	24	14	2	19	8
OG0000075	OG0000075	0	0	40	0	0	40	0
OG0000076	OG0000076	27	0	23	3	9	17	0
OG0000077	OG0000077	11	10	18	12	3	14	11
OG0000078	OG0000078	13	18	5	36	3	2	1
OG0000079	OG0000079	3	18	6	4	1	24	22
OG0000080	OG0000080	17	9	1	22	3	11	14
OG0000081	OG0000081	2	1	13	5	53	2	0
OG0000082	OG0000082	0	10	2	5	39	3	17
OG0000083	OG0000083	45	21	0	5	5	0	0
OG0000084	OG0000084	11	10	13	12	7	11	11
OG0000085	OG0000085	15	5	8	16	5	14	10
OG0000086	OG0000086	7	15	16	15	1	8	11
OG0000087	OG0000087	11	12	10	15	6	11	8
OG0000088	OG0000088	3	3	23	8	6	27	2
OG0000089	OG0000089	26	6	0	12	28	0	0
OG0000090	OG0000090	12	8	13	3	5	23	8
OG0000091	OG0000091	5	4	15	20	3	12	13
OG0000092	OG0000092	16	10	4	25	0	3	14
OG0000093	OG0000093	4	12	1	15	31	0	8
OG0000094	OG0000094	2	26	0	37	6	0	0
OG0000095	OG0000095	1	10	2	4	30	1	22
OG0000096	OG0000096	5	14	19	7	9	12	4
OG0000097	OG0000097	7	14	0	9	37	1	2
OG0000098	OG0000098	1	22	3	1	14	7	22
OG0000099	OG0000099	4	0	21	19	3	17	6
OG0000100	OG0000100	3	4	12	22	4	14	11
OG0000101	OG0000101	1	22	7	24	9	4	3
OG0000102	OG0000102	1	9	10	11	10	20	8
OG0000103	OG0000103	1	4	25	9	7	14	9
OG0000104	OG0000104	11	4	11	12	5	12	14
OG0000105	OG0000105	11	36	2	11	5	3	1
OG0000106	OG0000106	2	4	28	3	2	28	2
OG0000107	OG0000107	11	7	14	11	2	11	13
OG0000108	OG0000108	13	7	13	12	1	11	12
OG0000109	OG0000109	1	19	5	8	6	8	21
OG0000110	OG0000110	2	19	10	0	7	16	14
OG0000111	OG0000111	20	6	9	19	1	8	5
OG0000112	OG0000112	2	28	1	3	4	0	30
OG0000113	OG0000113	21	13	7	15	0	5	7
OG0000114	OG0000114	1	5	1	6	37	1	16
OG0000115	OG0000115	5	18	5	17	10	0	12
OG0000116	OG0000116	0	21	1	2	39	2	1
OG0000117	OG0000117	3	26	0	35	2	0	0
OG0000118	OG0000118	10	7	15	7	2	19	5
OG0000119	OG0000119	13	9	10	12	2	10	9
OG0000120	OG0000120	6	12	10	11	8	12	6
